cell,model,task,problem_id,n_failed_rollouts,spread,concentration,logit_dispersion,retry,sparse_steer,sparse_steer_random,local_temp,dense_steer
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_0,20,0.160693,2.095103,-0.8639,0.272727,0.727273,0.363636,0.363636,0.45
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_100,11,0.17913,2.153857,-0.820917,0.4,0.3,0.4,0.2,0.65
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_101,8,0.161218,2.041653,-1.000595,0.5,1.0,0.75,1.0,1.0
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_104,19,0.177091,1.93427,-1.187544,0.727273,0.818182,0.818182,0.727273,0.85
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_109,31,0.171607,2.025847,-1.209597,0.181818,0.454545,0.363636,0.090909,0.65
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_11,12,0.205207,1.888001,-0.958058,1.0,1.0,0.8,1.0,1.0
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_111,18,0.135183,2.116121,-0.920464,0.636364,0.909091,1.0,1.0,1.0
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_116,13,0.196446,1.850982,-0.929604,0.8,0.9,0.6,0.6,0.6
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_117,7,0.175409,1.850338,-0.967851,0.0,0.0,0.0,0.0,0.0
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_120,2,0.236875,1.782575,-1.096817,0.5,1.0,1.0,1.0,1.0
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_121,48,0.169162,2.090759,-0.872018,0.833333,0.916667,1.0,1.0,0.9
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_123,30,0.183821,1.991597,-0.75776,0.454545,0.454545,0.454545,0.363636,0.7
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_13,25,0.180651,1.955409,-0.796023,0.090909,0.545455,0.636364,0.363636,0.45
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_133,37,0.118692,2.153768,-0.950248,0.666667,0.75,0.666667,0.666667,0.6
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_139,31,0.172958,2.111899,-0.878483,0.272727,0.272727,0.363636,0.545455,0.15
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_141,15,0.123013,2.202756,-0.797048,0.7,0.8,0.6,0.6,0.55
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_146,44,0.146195,2.065609,-0.888394,0.416667,0.666667,0.666667,0.583333,1.0
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_150,17,0.144096,2.346212,-0.994724,0.545455,0.636364,0.454545,0.545455,0.2
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_160,20,0.187166,2.061704,-0.834515,0.545455,0.545455,0.545455,0.181818,0.75
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_164,12,0.119676,1.963536,-0.807951,0.6,0.7,0.9,0.9,0.5
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_166,4,0.218654,1.782681,-0.93387,1.0,1.0,1.0,0.75,1.0
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_179,28,0.12378,2.173432,-0.941676,0.090909,0.181818,0.272727,0.363636,0.25
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_18,24,0.174383,2.05907,-0.871405,0.272727,0.454545,0.363636,0.545455,0.75
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_186,47,0.191612,1.914343,-0.908101,0.916667,0.916667,0.75,1.0,1.0
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_187,20,0.188238,2.016485,-0.888786,0.818182,1.0,1.0,0.909091,1.0
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_190,49,0.143849,2.219876,-0.872123,0.0,0.25,0.0,0.0,0.35
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_192,30,0.216004,2.055429,-0.799807,0.545455,0.454545,0.363636,0.363636,0.55
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_195,39,0.164104,2.116082,-0.725701,0.0,0.083333,0.166667,0.0,0.15
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_197,41,0.118504,2.144257,-0.923555,0.666667,0.5,0.333333,0.416667,0.6
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_198,44,0.20405,2.098959,-0.831815,0.0,0.0,0.0,0.0,0.0
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_20,24,0.18094,1.974513,-0.868511,0.363636,0.545455,0.909091,0.818182,0.7
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_203,7,0.207477,1.901911,-0.90406,1.0,0.857143,1.0,0.857143,1.0
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_204,4,0.200726,1.950595,-0.784022,1.0,1.0,1.0,0.75,1.0
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_207,26,0.200951,1.910463,-0.995128,0.545455,0.636364,0.363636,0.363636,0.0
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_209,48,0.197058,1.993117,-0.806843,0.083333,0.0,0.0,0.0,0.0
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_21,48,0.112265,2.110661,-0.973288,0.0,0.0,0.0,0.083333,0.0
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_213,48,0.21141,1.870647,-0.867601,0.083333,0.083333,0.083333,0.166667,0.0
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_22,42,0.238885,1.876623,-0.681416,0.083333,0.166667,0.0,0.0,0.0
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_229,38,0.151686,2.163701,-0.792716,0.0,0.083333,0.0,0.083333,0.0
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_238,48,0.166099,2.018499,-0.925044,0.0,0.0,0.083333,0.0,0.05
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_239,50,0.197204,2.109447,-0.800481,0.0,0.0,0.0,0.0,0.0
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_24,47,0.112588,2.085684,-0.891327,0.083333,0.0,0.083333,0.0,0.0
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_243,2,0.194396,1.913766,-2.119762,1.0,1.0,1.0,0.5,1.0
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_244,50,0.197736,1.941734,-0.864574,0.0,0.0,0.076923,0.0,0.0
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_247,50,0.201871,1.973055,-0.912099,0.0,0.0,0.0,0.0,0.0
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_249,24,0.172286,2.115916,-0.803215,0.090909,0.0,0.181818,0.090909,0.05
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_25,44,0.201517,1.916703,-0.951218,0.083333,0.0,0.083333,0.0,0.0
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_256,31,0.222392,2.007231,-0.809629,0.727273,0.454545,0.545455,0.454545,0.6
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_261,29,0.14269,2.107537,-0.849055,0.272727,0.0,0.454545,0.181818,0.25
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_262,47,0.171626,1.98475,-0.937102,0.0,0.083333,0.083333,0.0,0.0
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_263,50,0.191449,1.948326,-0.854495,0.0,0.0,0.0,0.0,0.0
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_269,2,0.220114,1.838887,-0.925054,1.0,1.0,1.0,1.0,1.0
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_270,17,0.214196,1.872159,-0.864172,0.727273,0.727273,0.727273,1.0,1.0
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_275,33,0.161101,2.045848,-0.88957,0.25,0.083333,0.25,0.083333,0.1
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_28,21,0.155219,1.912337,-0.89431,0.454545,0.636364,0.272727,0.454545,0.5
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_281,4,0.174387,2.100241,-0.828055,1.0,1.0,1.0,0.75,1.0
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_284,15,0.168007,2.027822,-0.89943,0.4,0.7,0.4,0.9,0.35
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_288,2,0.150179,2.171673,-0.824103,1.0,0.5,0.5,0.0,0.0
grpo1p7b|cruxeval,grpo1p7b,cruxeval,sample_289,48,0.212684,1.920577,-0.821306,0.083333,0.0,0.0,0.0,0.0
